media_id,label_result,text_result
669071756687949998_15077159,"{u'bridge': '0.6496737', u'city': '0.83224005', u'evening': '0.70606697', u'reflection': '0.903474', u'dusk': '0.67711335', u'light': '0.80739409', u'human settlement': '0.76940411', u'skyline': '0.86697549', u'skyscraper': '0.57246852', u'night': '0.92117912', u'cityscape': '0.75997919', u'atmosphere of earth': '0.71081626', u'darkness': '0.77935559'}",[]
1191425236560415824_587871954,"{u'material': '0.51946312', u'art': '0.73684204', u'stone carving': '0.71397012', u'ceramic': '0.77866185', u'vase': '0.67837316', u'carving': '0.54253733', u'sculpture': '0.70376009', u'porcelain': '0.62442523'}",[]
1190258152238265289_305102859,"{u'textile': '0.54504251', u'hairstyle': '0.822881', u'selfie': '0.55438274', u'outerwear': '0.65584594', u'brown hair': '0.7229017', u'neck': '0.5604797', u'photo shoot': '0.62064797', u'hair': '0.9523102', u'fashion accessory': '0.63651645', u'clothing': '0.91427249', u'photography': '0.83896273', u'long hair': '0.71087092'}",[]
1220456122265533960_1551846438,"{u'head': '0.7647422', u'ear': '0.60170007', u'eye': '0.50721186', u'neck': '0.59430391', u'organ': '0.69948989', u'tooth': '0.5151304', u'jaw': '0.59099096', u'cheek': '0.93426412', u'hairstyle': '0.72903454', u'face': '0.96571177', u'human body': '0.54596186', u'mouth': '0.81973195', u'nose': '0.95723873', u'hand': '0.57174993', u'lip': '0.73315823', u'tongue': '0.7524454', u'facial hair': '0.61331892', u'moustache': '0.67718667', u'finger': '0.62684989'}","[u'l lick it up like a boss\n', u'l', u'lick', u'it', u'up', u'like', u'a', u'boss']"
1207421617910821473_523368307,"{u'toy': '0.59596807', u'art': '0.70313245'}","[u'G\n', u'G']"
1220464830856211856_668360682,"{u'hairstyle': '0.77939904', u'monochrome photography': '0.78914577', u'image': '0.9004212', u'gentleman': '0.54416835', u'facial hair': '0.65622395', u'hair': '0.94136882', u'person': '0.91131914', u'black': '0.93833309', u'portrait': '0.57346797', u'monochrome': '0.74236625', u'white': '0.93853837', u'glasses': '0.55400687', u'moustache': '0.66775912', u'photography': '0.83217371', u'black and white': '0.93218011', u'man': '0.84045929'}","[u'> bno gmihoM 10-ym\nbnD pm,horno\nDM TO Yn9mt1Dq9a\n', u'>', u'bno', u'gmihoM', u'10', u'-', u'ym', u'bnD', u'pm', u',', u'horno', u'DM', u'TO', u'Yn9mt1Dq9a']"
1214683848163227611_4242844,"{u'geographical feature': '0.87876487', u'city': '0.89642471', u'panorama': '0.52666104', u'human settlement': '0.81794965', u'cityscape': '0.62395489', u'skyline': '0.97108185', u'skyscraper': '0.64094639', u'landmark': '0.82939011'}","[u'BE CEE\n', u'BE', u'CEE']"
1151628909362643672_1399097143,"{u'castle': '0.65223229', u'property': '0.87122309'}",[]
1086085252452993647_343064113,"{u'soldier': '0.64788824', u'image': '0.90181553', u'screenshot': '0.63468975'}",[]
1210263488275640572_3015939827,"{u'hairstyle': '0.80819237', u'vision care': '0.83563', u'official': '0.52378041', u'profession': '0.50129271', u'head': '0.73900741', u'face': '0.94085389', u'hair': '0.95554787', u'person': '0.92921823', u'nose': '0.86170846', u'facial hair': '0.50549948', u'glasses': '0.90442783'}",[]
1178692821532716134_1445944266,"{u'thigh': '0.82201475', u'leg': '0.71683139', u'tights': '0.78392923', u'abdomen': '0.54197234', u'little black dress': '0.54881293', u'footwear': '0.77617157', u'dress': '0.67823559', u'human body': '0.544395', u'clothing': '0.91768473', u'arm': '0.70880407', u'outerwear': '0.50001377', u'finger': '0.59909749'}",[]
857564961643996268_569691832,"{u'jeans': '0.55337065', u't shirt': '0.95281321', u'clothing': '0.92717391', u'footwear': '0.62548614'}","[u'KOLHISTER\n', u'KOLHISTER']"
1211788063492256524_1470695235,"{u'wheel': '0.74480826', u'automotive exterior': '0.76052952', u'driving': '0.57145143', u'car': '0.98048866', u'bumper': '0.64435661', u'automobile make': '0.71790624', u'luxury vehicle': '0.67733645', u'motor vehicle': '0.96197468', u'sports car': '0.58539778', u'automotive design': '0.77788007', u'window': '0.59480506', u'vehicle': '0.88852292', u'sedan': '0.529906', u'auto show': '0.67944133'}","[u'2D\n', u'2D']"
1203228358166847452_205248462,"{u'hairstyle': '0.76180214', u'sunglasses': '0.98390156', u'black hair': '0.59631151', u'color': '0.96886373', u'brown hair': '0.70598882', u'eyewear': '0.99514461', u'face': '0.93322456', u'hair': '0.94004267', u'vision care': '0.95265323', u'nose': '0.89023805', u'fashion accessory': '0.73247695', u'cool': '0.63089931', u'selfie': '0.558436', u'glasses': '0.95176059'}",[]
