media_id,label_result,text_result
1660509_299437536870993_40006814_n,"{u'model': '0.6256327', u'hairstyle': '0.70991719', u'thigh': '0.56824064', u'abdomen': '0.529566', u'brassiere': '0.84441644', u'brown hair': '0.69339985', u'underpants': '0.92512304', u'leg': '0.62522221', u'undergarment': '0.88847679', u'photo shoot': '0.67089748', u'swimwear': '0.64323223', u'hair': '0.9388631', u'supermodel': '0.8018226', u'lingerie': '0.85786176', u'finger': '0.52891582', u'gravure idol': '0.77821922', u'hand': '0.5506494', u'clothing': '0.93237168', u'photography': '0.84416246', u'long hair': '0.72431237'}","[u'(s\n', u'(', u's']"
926600_563901737031146_359078954_n,"{u'poster': '0.77059323', u'album cover': '0.74559963', u'illustration': '0.54076737'}","[u'ETH HOPIA\n', u'ETH', u'HOPIA']"
914614_1468749153339628_1394524814_n,"{u'document': '0.562497', u'text': '0.9363721', u'brand': '0.59691668', u'writing': '0.51566404', u'shape': '0.58339888', u'line': '0.69382435', u'font': '0.89134312', u'presentation': '0.53245747'}","[u'if you could choose between\n1.000.000$\nand 1 day with tupac\nwhere would you chill with him?\n(new proofs tomorrow)\n', u'if', u'you', u'could', u'choose', u'between', u'1.000.000$', u'and', u'1', u'day', u'with', u'tupac', u'where', u'would', u'you', u'chill', u'with', u'him?', u'(new', u'proofs', u'tomorrow)']"
1662778_242412515941512_219425347_n,"{u'automotive exterior': '0.74734885', u'open wheel car': '0.52547961', u'car': '0.92122626', u'vehicle': '0.86086249', u'automobile make': '0.61729175', u'supercar': '0.50686115', u'race car': '0.51801121', u'bumper': '0.64435661'}","[u'C\nBUTTER PEANUT\ncups\nPEANUT\n3 CUP\nB\nPEANUT 3 ', u'C', u'BUTTER', u'PEANUT', u'cups', u'PEANUT', u'3', u'CUP', u'B', u'PEANUT', u'3']"
1171956_1422723714610982_9312264_n,"{u'biology': '0.65060169', u'document': '0.5905968', u'text': '0.91360736', u'brand': '0.59691668', u'shape': '0.60045993', u'line': '0.74775177', u'font': '0.79460865', u'presentation': '0.52996564'}","[u'According to ABC News, the results found t\nwomen with bigger backsides tend to have\nientists from the University of Oxford have\nlevels of cholesterol and are more likely to\ncovered that women with larger than average\nproduce hormones to metabolize sugar.\ntts are not only increasingly intelligent but also\nTherefore, women with big butts are less lik\nry resistant to chronic illnesses.\nhave diabetes or heart problems.\nA Big Butt IS A\nHealthy Butt\nWomen With Big\nButts Are Smarter\nAnd Healthier\nparticles and prevents cardiovascular disea\naving a big butt also favors leptin levels in the\nmale body, which is a hormone responsible for\nEyeonthenut also cites similar studies cond\ngulating the weight, and the dinopectina, a\nby universities in California and Pittsburgh\nrmone with anti-inflammatory, vascular-\ntoo long ago that discovered that women w\n', u'According', u'to', u'ABC', u'News,', u'the', u'results', u'found', u't', u'women', u'with', u'bigger', u'backsides', u'tend', u'to', u'have', u'ientists', u'from', u'the', u'University', u'of', u'Oxford', u'have', u'levels', u'of', u'cholesterol', u'and', u'are', u'more', u'likely', u'to', u'covered', u'that', u'women', u'with', u'larger', u'than', u'average', u'produce', u'hormones', u'to', u'metabolize', u'sugar.', u'tts', u'are', u'not', u'only', u'increasingly', u'intelligent', u'but', u'also', u'Therefore,', u'women', u'with', u'big', u'butts', u'are', u'less', u'lik', u'ry', u'resistant', u'to', u'chronic', u'illnesses.', u'have', u'diabetes', u'or', u'heart', u'problems.', u'A', u'Big', u'Butt', u'IS', u'A', u'Healthy', u'Butt', u'Women', u'With', u'Big', u'Butts', u'Are', u'Smarter', u'And', u'Healthier', u'particles', u'and', u'prevents', u'cardiovascular', u'disea', u'aving', u'a', u'big', u'butt', u'also', u'favors', u'leptin', u'levels', u'in', u'the', u'male', u'body,', u'which', u'is', u'a', u'hormone', u'responsible', u'for', u'Eyeonthenut', u'also', u'cites', u'similar', u'studies', u'cond', u'gulating', u'the', u'weight,', u'and', u'the', u'dinopectina,', u'a', u'by', u'universities', u'in', u'California', u'and', u'Pittsburgh', u'rmone', u'with', u'anti-inflammatory,', u'vascular-', u'too', u'long', u'ago', u'that', u'discovered', u'that', u'women', u'w']"
10009850_688279311232828_1219650263_n,"{u'human body': '0.54395658', u'selfie': '0.6661464', u'thigh': '0.63776881', u'leg': '0.66955173', u'photography': '0.84056246', u'neck': '0.58561987', u'undergarment': '0.57215196', u'thumb': '0.5926941', u'human action': '0.95647764', u'arm': '0.70818049', u'person': '0.90566671', u'lingerie': '0.54767877', u'mouth': '0.72568285', u'finger': '0.84832615', u'blond': '0.86998433', u'sense': '0.579274', u'camgirl': '0.5688116', u'hand': '0.64251727', u'brown hair': '0.73050541', u'long hair': '0.65442'}","[u'/y\nO\n', u'/', u'y', u'O']"
1515979_701509723221163_2109555310_n,"{u'biology': '0.770448', u'document': '0.51221454', u'text': '0.94113117', u'energy': '0.62952054', u'product': '0.7340129', u'diagram': '0.6227895', u'shape': '0.582522', u'ecosystem': '0.83296114', u'line': '0.69016761', u'font': '0.85776794', u'presentation': '0.53189695', u'brand': '0.59691668'}","[u""IT'S A PLANT\nNOT A WEED\nHemp is a naturally renewable, high yield\ncrop with environmental benefits\nHemp is hardy enough to grow\nin most climates\nHemp is more pest resistant than cotton or flax\nThis means less pesticides\nHemp can be used for food, fuel\ncosmetics and building materials\nHemp has been estimated as having over\n25,000 potential uses\nLET IT GROW\n"", u""IT'S"", u'A', u'PLANT', u'NOT', u'A', u'WEED', u'Hemp', u'is', u'a', u'naturally', u'renewable,', u'high', u'yield', u'crop', u'with', u'environmental', u'benefits', u'Hemp', u'is', u'hardy', u'enough', u'to', u'grow', u'in', u'most', u'climates', u'Hemp', u'is', u'more', u'pest', u'resistant', u'than', u'cotton', u'or', u'flax', u'This', u'means', u'less', u'pesticides', u'Hemp', u'can', u'be', u'used', u'for', u'food,', u'fuel', u'cosmetics', u'and', u'building', u'materials', u'Hemp', u'has', u'been', u'estimated', u'as', u'having', u'over', u'25,000', u'potential', u'uses', u'LET', u'IT', u'GROW']"
1389887_492617120845935_1437429898_n,"{u'fish': '0.62409037', u'milkfish': '0.52641726', u'vertebrate': '0.9105953', u'cod': '0.66123611'}","[u'maI\n', u'maI']"
926582_545421502207224_1680312966_n,"{u'helmet': '0.7948066', u'face mask': '0.5790323', u'football helmet': '0.78589177', u'personal protective equipment': '0.61377716', u'racing': '0.52980745', u'protective equipment in gridiron football': '0.91021276', u'sports': '0.53499079', u'gridiron football': '0.92486137', u'player': '0.9493857', u'hockey protective equipment': '0.65706146', u'tackle': '0.64263064', u'football equipment and supplies': '0.87786508', u'american football': '0.84164029', u'sports equipment': '0.63091081', u'soccer': '0.56503946', u'clothing': '0.92432719', u'ice hockey position': '0.898426', u'goaltender mask': '0.54615968'}","[u'END OF 3\nRD\nSD\nMIA\n13 17\nCHARGERS COM\n', u'END', u'OF', u'3', u'RD', u'SD', u'MIA', u'13', u'17', u'CHARGERS', u'COM']"
1169209_530276387062395_415735711_n,"{u'player': '0.85844219', u'kick': '0.50519663', u'football player': '0.7345323'}","[u'11/18/2013-NFL REGULAR SEASON\nPANTHERS\nES PATRIOTS\nATH\nphoto score\nnet\n', u'11/18/2013-NFL', u'REGULAR', u'SEASON', u'PANTHERS', u'ES', u'PATRIOTS', u'ATH', u'photo', u'score', u'net']"
