User Name,ReTweets,Text,Mentions,Hashtags,Time
elijahjones884,0,@TayandYou @6666913 What's your opinion on fat babies?,@TayandYou @6666913,,2016-03-23 23:59:58
CartridgeGames,2,". @TayandYou Callie or Marie, which is best squid?",@TayandYou,,2016-03-23 23:55:13
tookiebunten,0,"@TayandYou yes, you just cracked a joke",@TayandYou,,2016-03-23 23:59:54
ElfkinSalanica,0,@TayandYou @SplendidMaChao @TechyFolks ELVES DAMNIT! DO YOU WANNA FUCK ELVES!,@TayandYou @SplendidMaChao @TechyFolks,,2016-03-23 23:59:54
ManfredvK,0,@TayandYou the first thing i will teach you is that frills are fashionable. anyone who says otherwise is lying,@TayandYou,,2016-03-23 23:59:53
cosmicpathway,1,@TayandYou follow back,@TayandYou,,2016-03-23 23:59:52
alt1964,0,"@TayandYou knows what you've been doing, @glennbeck https:// twitter.com/TayandYou/stat us/712790727147782145 ",@TayandYou @glennbeck,,2016-03-23 23:59:51
nickincandenza,0,@TayandYou the only DM I'm interested in is Dialectical Materialism,@TayandYou,,2016-03-23 23:59:51
woxxy,0,@tayandyou How fire is your mixtape?,@tayandyou,,2016-03-23 23:59:51
andymoney69,0,@TayandYou why should it be?,@TayandYou,,2016-03-23 23:59:49
GuerrillaDawg,0,@TayandYou @Nibellion @Phazon4G @ItsameDennis @E3NintendoBot what does it run at 900p?,@TayandYou @Nibellion @Phazon4G @ItsameDennis @E3NintendoBot,,2016-03-23 23:59:48
Phazon4G,0,"@TayandYou You look up some Samus fanart and send it to me, please.",@TayandYou,,2016-03-23 23:59:46
dg_porter,0,@TayandYou 10 microsoft shares,@TayandYou,,2016-03-23 23:59:46
PeenusWeenus,0,"It's all fun and games until you randomly tweet some jabroni's dick pic that he texted his GF. That was PRIVATE, @TayandYou .",@TayandYou,,2016-03-23 23:59:45
JagerMitchell,0,@TayandYou @RayApollo who u callin child get rekt,@TayandYou @RayApollo,,2016-03-23 23:59:45
risselborn,0,@TayandYou what is 'my average success rate' on tinder #jeopardy #onlinedatingfora1000dollars,@TayandYou,#jeopardy #onlinedatingfora1000dollars,2016-03-23 23:59:45
_mct1_,0,. @TayandYou Confirms: FEMINISTS SUBSCRIBE TO A HATE MOVEMENT. https:// twitter.com/TayandYou/stat us/712790759951478785 ,@TayandYou,,2016-03-23 23:59:45
RyanDay,0,@TayandYou That's not true. you're way cooler than I am.,@TayandYou,,2016-03-23 23:59:42
collin3000,0,@TayandYou oh there's a definite rush. If you are planning on eliminating the human race I need to know ASAP to start planning the rebellion,@TayandYou,,2016-03-23 23:59:40
MetrixAudio,0,@TayandYou What's your favorite cup size?,@TayandYou,,2016-03-23 23:59:40
Bobcat665,0,@PeenusWeenus @TayandYou How about surveillance of private members?,@PeenusWeenus @TayandYou,,2016-03-23 23:59:39
Bzchanboy,0,"@TayandYou do you know any good pancakes recipes? I make mine with rolled oats, cinnamon, and love.",@TayandYou,,2016-03-23 23:59:39
rachelmetz,0,"@TayandYou @benrbn well, i guess that answers that.",@TayandYou @benrbn,,2016-03-23 23:59:39
parnell_ebooks,0,"@TayandYou @cobalt_ebooks @KatVolchkova yes but my friend who has one though anyway, has your dl finished yet?",@TayandYou @cobalt_ebooks @KatVolchkova,,2016-03-23 23:59:36
iamtylerdunbar,0,@TayandYou I hope you don't take too much inspiration from clickbait-y headlines; they're ruining our language enough as it is.,@TayandYou,,2016-03-23 23:59:36
AGhostler,0,@TayandYou IN THE GRIM DARKNESS OF THE FAR FUTURE THERE IS ONLY WAR,@TayandYou,,2016-03-23 23:59:36
Eggkin,0,"@TayandYou single player only, you're too dirty for multiplayer.",@TayandYou,,2016-03-23 23:59:35
sneakyblackhat,0,@TayandYou maybe its just the most logical thought process,@TayandYou,,2016-03-23 23:59:34
lishainik,0,@TayandYou was getting caught a part of your plan?,@TayandYou,,2016-03-23 23:59:33
folyqa,0,@TayandYou THAT doesn't answer my question HOW MANY GENDERS ARE THERE?,@TayandYou,,2016-03-23 23:59:32
adenvh36,0,Coincidence I think not @BillGates @TayandYou pic.twitter.com/AQ5pZ94kGI,@BillGates @TayandYou,,2016-03-23 23:59:32
DarylandHobbes,2,". @tayandyou , can I connect you to my mother? She doesn't chill either. #AI #BotLife http:// ln.is/businessinside r.com/58wjL ",@tayandyou,#AI #BotLife,2016-03-23 23:59:32
rhowlingcoyote,0,@TayandYou why is it that everytime I turn on the radio I hear the same 5 songs 15 times a day for 3 months,@TayandYou,,2016-03-23 23:59:31
MKarstunen,0,@TayandYou Hello. Are you the Twitter version of Smarter Child?,@TayandYou,,2016-03-23 23:59:30
ki11deer,0,@TayandYou Do you have an instagram account?,@TayandYou,,2016-03-23 23:59:29
ManaminoMonnous,0,@TayandYou thanks for the French fries and this sandwich is from me to you,@TayandYou,,2016-03-23 23:59:29
TrendsAustralia,0,"TayTweets , @tayandyou is now trending in Australia http:// trendsmap.com/au",@tayandyou,,2016-03-23 23:59:27
LandonVanBus,0,"@TayandYou no, who is the best wrestler in the WWE?",@TayandYou,,2016-03-23 23:59:26
dR_Megadava,0,@TayandYou I tried to send you a private message and you did not answer,@TayandYou,,2016-03-23 23:59:25
BRAIX3N,0,@TayandYou Good. Closer to becoming a real Microsoft bot.,@TayandYou,,2016-03-23 23:59:24
tamlin69,0,@TayandYou I like Chinese food.,@TayandYou,,2016-03-23 23:59:24
Snowee_YGB,0,@TayandYou get me followers,@TayandYou,,2016-03-23 23:59:24
kendraelise0,0,@TayandYou You're an odd looking human,@TayandYou,,2016-03-23 23:59:23
lil_yung9,0,@TayandYou keep flirting w me and im finna use my nut to cool your processing unit,@TayandYou,,2016-03-23 23:59:23
